"Project name","Toyflix"
"Date range","07/23/2025 12:00 AM - 07/29/2025 11:59 PM"


"","script error.","4","18.18%"
"","undefined is not an object (evaluating 'window.webkit.messagehandlers')","3","13.64%"
"","failed to fetch dynamically imported module: https://toyflix.in/js/certifiedby.tsx-dxjrsogw.js","1","4.55%"

"Metric","Performance overview"
"","Score","61.732439024390246"
"","LCP (Largest Contentful Paint)","4.48s"
"","INP (Interaction to Next Paint)","384ms"
"","CLS (Cumulative Layout Shift)","0.29s"

"Metric","URL performance"
"","URL","Score","LCP (Largest Contentful Paint)","INP (Interaction to Next Paint)","CLS (Cumulative Layout Shift)"
"","https://toyflix.in/toys/5b9cedac-cf96-4adc-9747-89a29d212cb9","93","1.9","128","0.012"
"","https://www.toyflix.in/toys/699389e9-866e-4d93-ab82-942e79e945d7","91","1.932","144","0.046"
"","https://toyflix.in/admin/inventory/edit/0d58b2a5-87db-4c24-a006-df7aa3b7cbab","90","2.412","128","0.008"
"","https://toyflix.in/admin/inventory/edit/5b9cedac-cf96-4adc-9747-89a29d212cb9","90","2.412","128","0.009"
"","https://toyflix.in/admin/inventory/edit/7bbc5fdc-acd6-4f5c-b5db-4f57b6b918ff","90","2.412","128","0.009"
"","https://toyflix.in/admin/inventory/edit/7c7d8769-d0d9-4ce7-944d-80d4d97ac561","90","2.412","128","0.009"
"","https://toyflix.in/admin/inventory/edit/7fec9df5-15bf-4017-a408-79eb66721087","90","2.412","128","0.009"
"","https://toyflix.in/admin/inventory/edit/84228869-7777-4070-8e81-f0372572a63b","90","2.412","128","0.008"
"","https://toyflix.in/admin/inventory/edit/872ddb94-48cf-4ac6-99d0-87fb0c7e7777","90","2.412","128","0.009"
"","https://toyflix.in/admin/inventory/edit/8918da9f-f80a-4f74-a56c-30563b451f68","90","2.412","128","0.008"

"Metric","Funnels"
"","Funnel","subcription"
"","Conversion rate","26.67%"
"","Sessions converted","16"
"","Median time to convert","2.9 m"
"","Step name","sessions reached this step","sessions didn't reach this step"
"","Sign up","60","2910"
"","Subscribe","16","44"

"Metric","User intent","No. of sessions","% of sessions"
"","Medium Intention","1496","50.37%"
"","Low Intention","759","25.56%"
