SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/23/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/24/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/25/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/26/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/27/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/28/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/29/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/30/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/31/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","10.76569","0.532896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/1/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/2/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/3/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/4/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/5/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/6/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/7/2025","4f1584dd-ae6a-5dae-8748-0bf974002a68","Azure App Service","Static Web","AP East","Standard App","0.03288","0.295896"
